"","state","mode","date","month","day","year","value"
"4192","hi","month","10/1/2014","10","1","2014","12"
"4193","hi","month","11/1/2014","11","1","2014","6"
"4194","hi","month","12/1/2014","12","1","2014","6"
"4195","hi","month","1/1/2015","1","1","2015","9"
"4196","hi","month","2/1/2015","2","1","2015","16"
"4197","hi","month","3/1/2015","3","1","2015","29"
"4198","hi","month","4/1/2015","4","1","2015","25"
"4199","hi","month","5/1/2015","5","1","2015","27"
"4200","hi","month","6/1/2015","6","1","2015","61"
"4201","hi","month","7/1/2015","7","1","2015","100"
"4202","hi","month","8/1/2015","8","1","2015","72"
"4203","hi","month","9/1/2015","9","1","2015","37"
"4204","hi","month","10/1/2015","10","1","2015","22"
"4205","hi","month","11/1/2015","11","1","2015","14"
"4206","hi","month","12/1/2015","12","1","2015","12"
"4207","hi","month","1/1/2016","1","1","2016","13"
"4208","hi","month","2/1/2016","2","1","2016","29"
"4209","hi","month","3/1/2016","3","1","2016","66"
"5737","in","month","1/1/2013","1","1","2013","7"
"5738","in","month","2/1/2013","2","1","2013","9"
"5739","in","month","3/1/2013","3","1","2013","11"
"5740","in","month","4/1/2013","4","1","2013","18"
"5741","in","month","5/1/2013","5","1","2013","41"
"5742","in","month","6/1/2013","6","1","2013","79"
"5743","in","month","7/1/2013","7","1","2013","52"
"5744","in","month","8/1/2013","8","1","2013","24"
"5745","in","month","9/1/2013","9","1","2013","9"
"5746","in","month","10/1/2013","10","1","2013","6"
"5747","in","month","11/1/2013","11","1","2013","6"
"5748","in","month","12/1/2013","12","1","2013","6"
"5749","in","month","1/1/2014","1","1","2014","6"
"5750","in","month","2/1/2014","2","1","2014","6"
"5751","in","month","3/1/2014","3","1","2014","12"
"5752","in","month","4/1/2014","4","1","2014","33"
"5753","in","month","5/1/2014","5","1","2014","49"
"5754","in","month","6/1/2014","6","1","2014","100"
"5755","in","month","7/1/2014","7","1","2014","45"
"5756","in","month","8/1/2014","8","1","2014","18"
"5757","in","month","9/1/2014","9","1","2014","9"
"5758","in","month","10/1/2014","10","1","2014","5"
"5759","in","month","11/1/2014","11","1","2014","6"
"5760","in","month","12/1/2014","12","1","2014","6"
"5761","in","month","1/1/2015","1","1","2015","7"
"5762","in","month","2/1/2015","2","1","2015","6"
"5763","in","month","3/1/2015","3","1","2015","10"
"5764","in","month","4/1/2015","4","1","2015","23"
"5765","in","month","5/1/2015","5","1","2015","45"
"5766","in","month","6/1/2015","6","1","2015","70"
"5767","in","month","7/1/2015","7","1","2015","58"
"5768","in","month","8/1/2015","8","1","2015","26"
"5769","in","month","9/1/2015","9","1","2015","9"
"5770","in","month","10/1/2015","10","1","2015","6"
"5771","in","month","11/1/2015","11","1","2015","6"
"5772","in","month","12/1/2015","12","1","2015","7"
"5773","in","month","1/1/2016","1","1","2016","6"
"5774","in","month","2/1/2016","2","1","2016","5"
"5775","in","month","3/1/2016","3","1","2016","0"
"6031","ky","month","1/1/2013","1","1","2013","9"
"6032","ky","month","2/1/2013","2","1","2013","9"
"6033","ky","month","3/1/2013","3","1","2013","8"
"6034","ky","month","4/1/2013","4","1","2013","23"
"6035","ky","month","5/1/2013","5","1","2013","60"
"6036","ky","month","6/1/2013","6","1","2013","80"
"6037","ky","month","7/1/2013","7","1","2013","43"
"6038","ky","month","8/1/2013","8","1","2013","14"
"6039","ky","month","9/1/2013","9","1","2013","12"
"6040","ky","month","10/1/2013","10","1","2013","5"
"6041","ky","month","11/1/2013","11","1","2013","5"
"6042","ky","month","12/1/2013","12","1","2013","5"
"6043","ky","month","1/1/2014","1","1","2014","5"
"6044","ky","month","2/1/2014","2","1","2014","5"
"6045","ky","month","3/1/2014","3","1","2014","9"
"6046","ky","month","4/1/2014","4","1","2014","32"
"6047","ky","month","5/1/2014","5","1","2014","51"
"6048","ky","month","6/1/2014","6","1","2014","100"
"6049","ky","month","7/1/2014","7","1","2014","44"
"6050","ky","month","8/1/2014","8","1","2014","15"
"6051","ky","month","9/1/2014","9","1","2014","9"
"6052","ky","month","10/1/2014","10","1","2014","5"
"6053","ky","month","11/1/2014","11","1","2014","5"
"6054","ky","month","12/1/2014","12","1","2014","5"
"6055","ky","month","1/1/2015","1","1","2015","5"
"6056","ky","month","2/1/2015","2","1","2015","5"
"6057","ky","month","3/1/2015","3","1","2015","17"
"6058","ky","month","4/1/2015","4","1","2015","28"
"6059","ky","month","5/1/2015","5","1","2015","59"
"6060","ky","month","6/1/2015","6","1","2015","91"
"6061","ky","month","7/1/2015","7","1","2015","52"
"6062","ky","month","8/1/2015","8","1","2015","21"
"6063","ky","month","9/1/2015","9","1","2015","8"
"6064","ky","month","10/1/2015","10","1","2015","8"
"6065","ky","month","11/1/2015","11","1","2015","7"
"6066","ky","month","12/1/2015","12","1","2015","7"
"6067","ky","month","1/1/2016","1","1","2016","0"
"6068","ky","month","2/1/2016","2","1","2016","0"
"6069","ky","month","3/1/2016","3","1","2016","0"
"6190","la","month","1/1/2014","1","1","2014","18"
"6191","la","month","2/1/2014","2","1","2014","20"
"6192","la","month","3/1/2014","3","1","2014","21"
"6193","la","month","4/1/2014","4","1","2014","60"
"6194","la","month","5/1/2014","5","1","2014","65"
"6195","la","month","6/1/2014","6","1","2014","100"
"6196","la","month","7/1/2014","7","1","2014","70"
"6197","la","month","8/1/2014","8","1","2014","29"
"6198","la","month","9/1/2014","9","1","2014","17"
"6199","la","month","10/1/2014","10","1","2014","9"
"6200","la","month","11/1/2014","11","1","2014","13"
"6201","la","month","12/1/2014","12","1","2014","16"
"6202","la","month","1/1/2015","1","1","2015","20"
"6203","la","month","2/1/2015","2","1","2015","23"
"6204","la","month","3/1/2015","3","1","2015","27"
"6205","la","month","4/1/2015","4","1","2015","33"
"6206","la","month","5/1/2015","5","1","2015","48"
"6207","la","month","6/1/2015","6","1","2015","73"
"6208","la","month","7/1/2015","7","1","2015","69"
"6209","la","month","8/1/2015","8","1","2015","35"
"6210","la","month","9/1/2015","9","1","2015","18"
"6211","la","month","10/1/2015","10","1","2015","9"
"6212","la","month","11/1/2015","11","1","2015","10"
"6213","la","month","12/1/2015","12","1","2015","11"
"6214","la","month","1/1/2016","1","1","2016","12"
"6215","la","month","2/1/2016","2","1","2016","12"
"6216","la","month","3/1/2016","3","1","2016","0"
"6961","md","month","1/1/2013","1","1","2013","6"
"6962","md","month","2/1/2013","2","1","2013","6"
"6963","md","month","3/1/2013","3","1","2013","12"
"6964","md","month","4/1/2013","4","1","2013","34"
"6965","md","month","5/1/2013","5","1","2013","41"
"6966","md","month","6/1/2013","6","1","2013","100"
"6967","md","month","7/1/2013","7","1","2013","79"
"6968","md","month","8/1/2013","8","1","2013","35"
"6969","md","month","9/1/2013","9","1","2013","16"
"6970","md","month","10/1/2013","10","1","2013","9"
"6971","md","month","11/1/2013","11","1","2013","6"
"6972","md","month","12/1/2013","12","1","2013","6"
"6973","md","month","1/1/2014","1","1","2014","6"
"6974","md","month","2/1/2014","2","1","2014","7"
"6975","md","month","3/1/2014","3","1","2014","8"
"6976","md","month","4/1/2014","4","1","2014","29"
"6977","md","month","5/1/2014","5","1","2014","43"
"6978","md","month","6/1/2014","6","1","2014","98"
"6979","md","month","7/1/2014","7","1","2014","67"
"6980","md","month","8/1/2014","8","1","2014","27"
"6981","md","month","9/1/2014","9","1","2014","16"
"6982","md","month","10/1/2014","10","1","2014","10"
"6983","md","month","11/1/2014","11","1","2014","7"
"6984","md","month","12/1/2014","12","1","2014","7"
"6985","md","month","1/1/2015","1","1","2015","7"
"6986","md","month","2/1/2015","2","1","2015","8"
"6987","md","month","3/1/2015","3","1","2015","9"
"6988","md","month","4/1/2015","4","1","2015","35"
"6989","md","month","5/1/2015","5","1","2015","64"
"6990","md","month","6/1/2015","6","1","2015","74"
"6991","md","month","7/1/2015","7","1","2015","70"
"6992","md","month","8/1/2015","8","1","2015","45"
"6993","md","month","9/1/2015","9","1","2015","16"
"6994","md","month","10/1/2015","10","1","2015","8"
"6995","md","month","11/1/2015","11","1","2015","8"
"6996","md","month","12/1/2015","12","1","2015","8"
"6997","md","month","1/1/2016","1","1","2016","9"
"6998","md","month","2/1/2016","2","1","2016","8"
"6999","md","month","3/1/2016","3","1","2016","0"
"7732","mi","month","1/1/2012","1","1","2012","5"
"7733","mi","month","2/1/2012","2","1","2012","7"
"7734","mi","month","3/1/2012","3","1","2012","15"
"7735","mi","month","4/1/2012","4","1","2012","15"
"7736","mi","month","5/1/2012","5","1","2012","56"
"7737","mi","month","6/1/2012","6","1","2012","62"
"7738","mi","month","7/1/2012","7","1","2012","64"
"7739","mi","month","8/1/2012","8","1","2012","23"
"7740","mi","month","9/1/2012","9","1","2012","10"
"7741","mi","month","10/1/2012","10","1","2012","5"
"7742","mi","month","11/1/2012","11","1","2012","4"
"7743","mi","month","12/1/2012","12","1","2012","4"
"7744","mi","month","1/1/2013","1","1","2013","7"
"7745","mi","month","2/1/2013","2","1","2013","8"
"7746","mi","month","3/1/2013","3","1","2013","11"
"7747","mi","month","4/1/2013","4","1","2013","19"
"7748","mi","month","5/1/2013","5","1","2013","53"
"7749","mi","month","6/1/2013","6","1","2013","71"
"7750","mi","month","7/1/2013","7","1","2013","67"
"7751","mi","month","8/1/2013","8","1","2013","24"
"7752","mi","month","9/1/2013","9","1","2013","13"
"7753","mi","month","10/1/2013","10","1","2013","5"
"7754","mi","month","11/1/2013","11","1","2013","4"
"7755","mi","month","12/1/2013","12","1","2013","4"
"7756","mi","month","1/1/2014","1","1","2014","4"
"7757","mi","month","2/1/2014","2","1","2014","6"
"7758","mi","month","3/1/2014","3","1","2014","12"
"7759","mi","month","4/1/2014","4","1","2014","24"
"7760","mi","month","5/1/2014","5","1","2014","64"
"7761","mi","month","6/1/2014","6","1","2014","100"
"7762","mi","month","7/1/2014","7","1","2014","59"
"7763","mi","month","8/1/2014","8","1","2014","27"
"7764","mi","month","9/1/2014","9","1","2014","9"
"7765","mi","month","10/1/2014","10","1","2014","5"
"7766","mi","month","11/1/2014","11","1","2014","6"
"7767","mi","month","12/1/2014","12","1","2014","6"
"7768","mi","month","1/1/2015","1","1","2015","6"
"7769","mi","month","2/1/2015","2","1","2015","5"
"7770","mi","month","3/1/2015","3","1","2015","9"
"7771","mi","month","4/1/2015","4","1","2015","23"
"7772","mi","month","5/1/2015","5","1","2015","41"
"7773","mi","month","6/1/2015","6","1","2015","68"
"7774","mi","month","7/1/2015","7","1","2015","80"
"7775","mi","month","8/1/2015","8","1","2015","38"
"7776","mi","month","9/1/2015","9","1","2015","13"
"7777","mi","month","10/1/2015","10","1","2015","4"
"7778","mi","month","11/1/2015","11","1","2015","3"
"7779","mi","month","12/1/2015","12","1","2015","4"
"7780","mi","month","1/1/2016","1","1","2016","5"
"7781","mi","month","2/1/2016","2","1","2016","6"
"7782","mi","month","3/1/2016","3","1","2016","14"
"7879","mn","month","1/1/2012","1","1","2012","8"
"7880","mn","month","2/1/2012","2","1","2012","7"
"7881","mn","month","3/1/2012","3","1","2012","14"
"7882","mn","month","4/1/2012","4","1","2012","20"
"7883","mn","month","5/1/2012","5","1","2012","57"
"7884","mn","month","6/1/2012","6","1","2012","93"
"7885","mn","month","7/1/2012","7","1","2012","72"
"7886","mn","month","8/1/2012","8","1","2012","22"
"7887","mn","month","9/1/2012","9","1","2012","9"
"7888","mn","month","10/1/2012","10","1","2012","5"
"7889","mn","month","11/1/2012","11","1","2012","5"
"7890","mn","month","12/1/2012","12","1","2012","6"
"7891","mn","month","1/1/2013","1","1","2013","6"
"7892","mn","month","2/1/2013","2","1","2013","7"
"7893","mn","month","3/1/2013","3","1","2013","14"
"7894","mn","month","4/1/2013","4","1","2013","20"
"7895","mn","month","5/1/2013","5","1","2013","33"
"7896","mn","month","6/1/2013","6","1","2013","77"
"7897","mn","month","7/1/2013","7","1","2013","71"
"7898","mn","month","8/1/2013","8","1","2013","25"
"7899","mn","month","9/1/2013","9","1","2013","10"
"7900","mn","month","10/1/2013","10","1","2013","4"
"7901","mn","month","11/1/2013","11","1","2013","4"
"7902","mn","month","12/1/2013","12","1","2013","4"
"7903","mn","month","1/1/2014","1","1","2014","4"
"7904","mn","month","2/1/2014","2","1","2014","6"
"7905","mn","month","3/1/2014","3","1","2014","13"
"7906","mn","month","4/1/2014","4","1","2014","15"
"7907","mn","month","5/1/2014","5","1","2014","51"
"7908","mn","month","6/1/2014","6","1","2014","72"
"7909","mn","month","7/1/2014","7","1","2014","55"
"7910","mn","month","8/1/2014","8","1","2014","22"
"7911","mn","month","9/1/2014","9","1","2014","9"
"7912","mn","month","10/1/2014","10","1","2014","5"
"7913","mn","month","11/1/2014","11","1","2014","5"
"7914","mn","month","12/1/2014","12","1","2014","6"
"7915","mn","month","1/1/2015","1","1","2015","7"
"7916","mn","month","2/1/2015","2","1","2015","6"
"7917","mn","month","3/1/2015","3","1","2015","10"
"7918","mn","month","4/1/2015","4","1","2015","19"
"7919","mn","month","5/1/2015","5","1","2015","32"
"7920","mn","month","6/1/2015","6","1","2015","78"
"7921","mn","month","7/1/2015","7","1","2015","70"
"7922","mn","month","8/1/2015","8","1","2015","26"
"7923","mn","month","9/1/2015","9","1","2015","9"
"7924","mn","month","10/1/2015","10","1","2015","8"
"7925","mn","month","11/1/2015","11","1","2015","8"
"7926","mn","month","12/1/2015","12","1","2015","5"
"7927","mn","month","1/1/2016","1","1","2016","5"
"7928","mn","month","2/1/2016","2","1","2016","6"
"7929","mn","month","3/1/2016","3","1","2016","0"
"8038","mo","month","1/1/2013","1","1","2013","6"
"8039","mo","month","2/1/2013","2","1","2013","6"
"8040","mo","month","3/1/2013","3","1","2013","12"
"8041","mo","month","4/1/2013","4","1","2013","26"
"8042","mo","month","5/1/2013","5","1","2013","53"
"8043","mo","month","6/1/2013","6","1","2013","80"
"8044","mo","month","7/1/2013","7","1","2013","59"
"8045","mo","month","8/1/2013","8","1","2013","22"
"8046","mo","month","9/1/2013","9","1","2013","14"
"8047","mo","month","10/1/2013","10","1","2013","6"
"8048","mo","month","11/1/2013","11","1","2013","4"
"8049","mo","month","12/1/2013","12","1","2013","4"
"8050","mo","month","1/1/2014","1","1","2014","5"
"8051","mo","month","2/1/2014","2","1","2014","4"
"8052","mo","month","3/1/2014","3","1","2014","12"
"8053","mo","month","4/1/2014","4","1","2014","23"
"8054","mo","month","5/1/2014","5","1","2014","60"
"8055","mo","month","6/1/2014","6","1","2014","97"
"8056","mo","month","7/1/2014","7","1","2014","68"
"8057","mo","month","8/1/2014","8","1","2014","23"
"8058","mo","month","9/1/2014","9","1","2014","9"
"8059","mo","month","10/1/2014","10","1","2014","6"
"8060","mo","month","11/1/2014","11","1","2014","6"
"8061","mo","month","12/1/2014","12","1","2014","6"
"8062","mo","month","1/1/2015","1","1","2015","6"
"8063","mo","month","2/1/2015","2","1","2015","6"
"8064","mo","month","3/1/2015","3","1","2015","15"
"8065","mo","month","4/1/2015","4","1","2015","17"
"8066","mo","month","5/1/2015","5","1","2015","41"
"8067","mo","month","6/1/2015","6","1","2015","100"
"8068","mo","month","7/1/2015","7","1","2015","70"
"8069","mo","month","8/1/2015","8","1","2015","29"
"8070","mo","month","9/1/2015","9","1","2015","13"
"8071","mo","month","10/1/2015","10","1","2015","4"
"8072","mo","month","11/1/2015","11","1","2015","5"
"8073","mo","month","12/1/2015","12","1","2015","5"
"8074","mo","month","1/1/2016","1","1","2016","5"
"8075","mo","month","2/1/2016","2","1","2016","5"
"8076","mo","month","3/1/2016","3","1","2016","0"
"8197","ms","month","1/1/2014","1","1","2014","10"
"8198","ms","month","2/1/2014","2","1","2014","10"
"8199","ms","month","3/1/2014","3","1","2014","27"
"8200","ms","month","4/1/2014","4","1","2014","57"
"8201","ms","month","5/1/2014","5","1","2014","66"
"8202","ms","month","6/1/2014","6","1","2014","100"
"8203","ms","month","7/1/2014","7","1","2014","66"
"8204","ms","month","8/1/2014","8","1","2014","24"
"8205","ms","month","9/1/2014","9","1","2014","17"
"8206","ms","month","10/1/2014","10","1","2014","0"
"8207","ms","month","11/1/2014","11","1","2014","0"
"8208","ms","month","12/1/2014","12","1","2014","0"
"8209","ms","month","1/1/2015","1","1","2015","0"
"8210","ms","month","2/1/2015","2","1","2015","0"
"8211","ms","month","3/1/2015","3","1","2015","22"
"8212","ms","month","4/1/2015","4","1","2015","29"
"8213","ms","month","5/1/2015","5","1","2015","56"
"8214","ms","month","6/1/2015","6","1","2015","79"
"8215","ms","month","7/1/2015","7","1","2015","63"
"8216","ms","month","8/1/2015","8","1","2015","27"
"8217","ms","month","9/1/2015","9","1","2015","0"
"8218","ms","month","10/1/2015","10","1","2015","0"
"8219","ms","month","11/1/2015","11","1","2015","0"
"8220","ms","month","12/1/2015","12","1","2015","0"
"8221","ms","month","1/1/2016","1","1","2016","0"
"8222","ms","month","2/1/2016","2","1","2016","0"
"8223","ms","month","3/1/2016","3","1","2016","0"
"8944","nc","month","1/1/2011","1","1","2011","7"
"8945","nc","month","2/1/2011","2","1","2011","7"
"8946","nc","month","3/1/2011","3","1","2011","12"
"8947","nc","month","4/1/2011","4","1","2011","46"
"8948","nc","month","5/1/2011","5","1","2011","64"
"8949","nc","month","6/1/2011","6","1","2011","69"
"8950","nc","month","7/1/2011","7","1","2011","51"
"8951","nc","month","8/1/2011","8","1","2011","30"
"8952","nc","month","9/1/2011","9","1","2011","13"
"8953","nc","month","10/1/2011","10","1","2011","7"
"8954","nc","month","11/1/2011","11","1","2011","4"
"8955","nc","month","12/1/2011","12","1","2011","4"
"8956","nc","month","1/1/2012","1","1","2012","4"
"8957","nc","month","2/1/2012","2","1","2012","6"
"8958","nc","month","3/1/2012","3","1","2012","18"
"8959","nc","month","4/1/2012","4","1","2012","39"
"8960","nc","month","5/1/2012","5","1","2012","74"
"8961","nc","month","6/1/2012","6","1","2012","66"
"8962","nc","month","7/1/2012","7","1","2012","58"
"8963","nc","month","8/1/2012","8","1","2012","28"
"8964","nc","month","9/1/2012","9","1","2012","15"
"8965","nc","month","10/1/2012","10","1","2012","5"
"8966","nc","month","11/1/2012","11","1","2012","5"
"8967","nc","month","12/1/2012","12","1","2012","5"
"8968","nc","month","1/1/2013","1","1","2013","4"
"8969","nc","month","2/1/2013","2","1","2013","6"
"8970","nc","month","3/1/2013","3","1","2013","15"
"8971","nc","month","4/1/2013","4","1","2013","46"
