 CYS 20050326  5.62  5.14  0.45  0.43  0.11 335.8
 CYS 20050327  5.70  4.85  0.11  0.57  0.32 335.8
 CYS 20050328  5.78  4.53  0.00  0.54  0.38 335.8
 CYS 20050329  5.85  4.30  0.12  0.39  0.27 335.8
 CYS 20050330  5.93  4.05  0.13  0.29  0.27 335.8
 CYS 20050331  6.01  5.38  0.40  0.44  0.13 335.8
 CYS 20050401  6.09  5.42  0.29  0.51  0.20 335.8
 CYS 20050402  6.16  5.03  0.00  0.67  0.27 335.8
 CYS 20050403  6.24  4.93  0.01  0.53  0.39 335.8
 CYS 20050404  6.31  5.03  0.01  0.59  0.32 335.8
 CYS 20050405  6.39  3.63  0.05  0.20  0.25 335.8
 CYS 20050406  6.46  5.99  0.50  0.45  0.03 335.8
 CYS 20050407  6.54  6.23  0.65  0.32  0.03 335.8
 CYS 20050408  6.61  3.81  0.00  0.16  0.41 335.8
 CYS 20050409  6.69  4.68  0.02  0.37  0.38 335.8
 CYS 20050410  6.76  3.84  0.01  0.24  0.26 335.8
 CYS 20050411  6.83  5.45  0.29  0.38  0.16 335.8
 CYS 20050412  6.90  6.65  0.64  0.37  0.00 335.8
 CYS 20050413  6.97  6.65  0.67  0.29  0.04 335.8
 CYS 20050414  7.04  6.11  0.32  0.48  0.14 335.8
 CYS 20050415  7.10  6.71  0.50  0.48  0.03 335.8
 CYS 20050416  7.17  6.72  0.48  0.49  0.03 335.8
 CYS 20050417  7.24  6.66  0.38  0.55  0.07 335.8
 CYS 20050418  7.31  5.21  0.02  0.45  0.30 335.8
 CYS 20050419  7.37  4.90  0.06  0.34  0.27 335.8
 CYS 20050420  7.44  4.05  0.00  0.14  0.36 335.8
 CYS 20050421  7.51  4.11  0.01  0.26  0.18 335.8
 CYS 20050422  7.57  6.20  0.16  0.52  0.23 335.8
 CYS 20050423  7.62  6.20  0.13  0.53  0.25 335.8
 CYS 20050424  7.68  4.83  0.14  0.30  0.11 335.8
 CYS 20050425  7.73  6.20  0.22  0.44  0.20 335.8
 CYS 20050426  7.79  6.28  0.09  0.55  0.27 335.8
 CYS 20050427  7.85  5.13  0.00  0.35  0.33 335.8
 CYS 20050428  7.90  3.45  0.00  0.06  0.21 335.8
 CYS 20050429  7.96  5.96  0.10  0.46  0.24 335.8
 CYS 20050430  8.02  5.05  0.00  0.33  0.30 335.8
 CYS 20050501  8.07  6.81  0.28  0.47  0.16 335.8
 CYS 20050502  7.42  6.80  0.50  0.43  0.03 362.2
 CYS 20050503  7.54  6.50  0.23  0.56  0.16 358.8
 CYS 20050505  7.65  5.93  0.08  0.48  0.31 357.9
 CYS 20050506  7.56  6.22  0.11  0.54  0.29 363.2
 CYS 20050507  7.24  5.31  0.09  0.39  0.32 378.3
 CYS 20050508  7.40  4.59  0.00  0.20  0.46 372.9
 CYS 20050509  7.93  6.27  0.03  0.58  0.29 353.4
 CYS 20050510  8.63  6.23  0.05  0.43  0.30 330.5
 CYS 20050511  8.23  3.97  0.00  0.11  0.25 345.6
 CYS 20050512  7.67  4.16  0.03  0.13  0.32 368.1
 CYS 20050513  8.23  7.08  0.20  0.55  0.22 347.7
 CYS 20050514  8.19  7.38  0.38  0.48  0.12 350.0
 CYS 20050515  8.09  7.36  0.35  0.54  0.11 355.2
 CYS 20050516  8.96  7.29  0.00  0.61  0.35 326.7
 CYS 20050517  8.48  5.82  0.00  0.37  0.38 343.4
 CYS 20050518  8.70  7.03  0.00  0.63  0.31 337.5
 CYS 20050519  9.79  8.16  0.14  0.56  0.24 306.6
 CYS 20050520  9.76  8.34  0.22  0.56  0.16 308.5
 CYS 20050521  9.94  8.67  0.37  0.45  0.11 304.4
 CYS 20050522  9.89  9.17  0.40  0.53  0.08 306.5
 CYS 20050523  9.73  7.65  0.12  0.55  0.17 311.5
 CYS 20050524 10.24  8.08  0.12  0.52  0.22 298.8
 CYS 20050525  9.24  7.41  0.23  0.45  0.17 326.2
 CYS 20050526  9.43  7.90  0.33  0.43  0.12 321.7
 CYS 20050527  9.50  8.51  0.46  0.40  0.09 320.4
 CYS 20050528  9.31  8.52  0.34  0.56  0.11 326.3
 CYS 20050529  9.48  5.97  0.00  0.28  0.37 322.0
 CYS 20050530  9.48  5.58  0.00  0.23  0.34 322.5
 CYS 20050531  8.63  6.12  0.17  0.36  0.17 349.7
 CYS 20050601  8.96  5.85  0.00  0.27  0.44 339.8
 CYS 20050602  8.90  6.76  0.16  0.45  0.18 341.9
 CYS 20050603  8.81  6.23  0.13  0.34  0.26 345.4
 CYS 20050604  8.70  6.37  0.09  0.38  0.33 349.0
 CYS 20050605  8.89  7.99  0.28  0.58  0.14 343.3
 CYS 20050606  9.56  7.88  0.07  0.59  0.29 323.3
 CYS 20050610  8.99  7.80  0.25  0.54  0.17 342.1
 CYS 20050611  9.13  6.32  0.10  0.32  0.30 338.0
 CYS 20050612  9.61  7.05  0.01  0.44  0.38 323.5
 CYS 20050613  8.66  5.67  0.14  0.23  0.27 353.2
 CYS 20050614 10.38  9.77  0.50  0.48  0.02 303.5
 CYS 20050615 10.47  9.36  0.22  0.62  0.17 301.3
 CYS 20050616 10.02  8.99  0.26  0.60  0.14 313.1
 CYS 20050617 10.43  9.40  0.29  0.58  0.13 302.7
 CYS 20050618 10.25  9.44  0.42  0.49  0.09 307.5
 CYS 20050619 10.49 10.04  0.67  0.31  0.02 301.3
 CYS 20050620 11.01 10.31  0.59  0.34  0.06 290.0
 CYS 20050621 10.86  9.95  0.33  0.60  0.07 293.0
 CYS 20050622 11.14  9.71  0.14  0.64  0.22 287.0
 CYS 20050623 11.11  9.20  0.08  0.62  0.24 287.5
 CYS 20050624 10.61  9.10  0.27  0.52  0.14 298.1
 CYS 20050625 10.85  9.34  0.12  0.63  0.24 292.8
 CYS 20050626 10.06  8.70  0.14  0.62  0.23 311.8
 CYS 20050627  9.39  8.43  0.30  0.57  0.12 329.9
 CYS 20050628 10.22  8.66  0.11  0.64  0.21 307.3
 CYS 20050629  9.92  7.57  0.08  0.48  0.28 315.1
 CYS 20050630  9.69  8.88  0.41  0.50  0.08 320.7
 CYS 20050701  9.70  8.74  0.31  0.57  0.11 320.2
 CYS 20050702  9.97  8.71  0.22  0.60  0.15 312.8
