 ORF 20050326  6.22  2.33  0.08  0.00  0.01 317.2
 ORF 20050327  6.29  2.44  0.07  0.00  0.06 317.2
 ORF 20050328  6.37  3.21  0.00  0.12  0.29 317.2
 ORF 20050329  6.44  5.88  0.48  0.35  0.17 317.2
 ORF 20050330  6.52  5.50  0.32  0.43  0.15 317.2
 ORF 20050331  6.59  3.67  0.00  0.21  0.29 317.2
 ORF 20050401  6.67  3.86  0.00  0.27  0.26 317.2
 ORF 20050402  6.74  2.60  0.00  0.00  0.17 317.2
 ORF 20050403  6.80  5.22  0.14  0.29  0.46 317.2
 ORF 20050404  6.87  6.44  0.52  0.43  0.05 317.2
 ORF 20050405  6.94  6.07  0.48  0.39  0.02 317.2
 ORF 20050406  7.01  5.70  0.27  0.38  0.23 317.2
 ORF 20050407  7.08  4.98  0.21  0.19  0.33 317.2
 ORF 20050408  7.15  2.72  0.04  0.00  0.09 317.2
 ORF 20050409  7.21  2.96  0.00  0.00  0.23 317.2
 ORF 20050410  7.28  6.44  0.34  0.54  0.06 317.2
 ORF 20050411  7.35  5.38  0.19  0.41  0.12 317.2
 ORF 20050412  7.41  4.60  0.21  0.26  0.03 317.2
 ORF 20050413  7.47  2.67  0.00  0.00  0.10 317.2
 ORF 20050414  7.53  5.15  0.16  0.32  0.18 317.2
 ORF 20050415  7.59  4.34  0.08  0.20  0.21 317.2
 ORF 20050416  7.65  5.94  0.30  0.36  0.12 317.2
 ORF 20050417  7.71  7.37  0.62  0.38  0.00 317.2
 ORF 20050418  7.77  6.82  0.40  0.41  0.13 317.2
 ORF 20050419  7.83  7.15  0.30  0.63  0.07 317.2
 ORF 20050420  7.89  6.98  0.22  0.59  0.19 317.2
 ORF 20050421  7.95  4.59  0.08  0.21  0.21 317.2
 ORF 20050422  8.00  5.16  0.07  0.26  0.32 317.2
 ORF 20050423  8.04  3.53  0.03  0.00  0.25 317.2
 ORF 20050424  8.09  5.44  0.00  0.26  0.50 317.2
 ORF 20050425  8.14  7.18  0.22  0.55  0.24 317.2
 ORF 20050426  8.19  4.97  0.16  0.18  0.19 317.2
 ORF 20050427  8.24  4.82  0.00  0.06  0.57 317.2
 ORF 20050428  8.29  7.64  0.37  0.57  0.06 317.2
 ORF 20050429  8.34  3.20  0.01  0.00  0.15 317.2
 ORF 20050430  8.39  4.04  0.06  0.06  0.22 317.2
 ORF 20050501  8.43  6.92  0.18  0.47  0.27 317.2
 ORF 20050502  7.51  5.61  0.28  0.19  0.32 350.4
 ORF 20050503  7.41  6.14  0.23  0.49  0.18 356.0
 ORF 20050505  7.76  4.31  0.03  0.18  0.28 344.7
 ORF 20050506  7.98  2.95  0.00  0.00  0.13 338.0
 ORF 20050507  7.27  6.35  0.24  0.49  0.27 366.8
 ORF 20050508  7.38  6.58  0.27  0.55  0.18 363.8
 ORF 20050509  7.75  6.57  0.26  0.53  0.12 349.9
 ORF 20050510  7.98  6.35  0.22  0.47  0.14 342.7
 ORF 20050511  8.09  6.72  0.17  0.54  0.21 340.1
 ORF 20050512  8.42  5.10  0.04  0.29  0.23 329.7
 ORF 20050513  8.41  6.29  0.15  0.47  0.14 330.8
 ORF 20050514  8.83  7.20  0.10  0.56  0.26 318.4
 ORF 20050515  8.47  5.68  0.05  0.27  0.40 330.4
 ORF 20050516  7.93  5.93  0.08  0.46  0.27 349.8
 ORF 20050517  8.01  5.30  0.00  0.37  0.32 348.0
 ORF 20050518  8.03  6.65  0.21  0.54  0.14 348.0
 ORF 20050519  8.19  4.06  0.00  0.02  0.41 343.4
 ORF 20050520  8.54  3.12  0.00  0.00  0.12 332.2
 ORF 20050521  7.81  6.27  0.14  0.47  0.29 358.9
 ORF 20050522  7.16  6.34  0.24  0.56  0.20 387.0
 ORF 20050523  7.52  4.55  0.00  0.20  0.42 371.5
