 ELP 20110102  3.33  3.14 99.90 55.10 94.50 302.5
 ELP 20110103  3.78  3.57100.00 55.10 94.50 272.5
 ELP 20110104  3.99  3.77100.00 55.00 94.50 261.5
 ELP 20110105  4.10  3.82 98.60 54.80 94.50 257.1
 ELP 20110106  4.37  3.45 83.40 54.70 94.50 244.8
 ELP 20110107  4.08  3.76 97.60 54.60 94.50 261.1
 ELP 20110108  3.44  3.25100.00 54.50 94.50 304.5
 ELP 20110109  3.88  3.67100.00 54.30 94.50 276.5
 ELP 20110110  4.15  3.92 99.90 54.20 94.50 263.2
 ELP 20110111  4.11  3.88100.00 54.10 94.50 267.8
 ELP 20110112  3.39  2.18 68.00 53.90 94.50 318.8
 ELP 20110113  3.88  3.66100.00 53.70 94.50 285.8
 ELP 20110114  3.84  3.62100.00 53.60 94.50 290.9
 ELP 20110115  4.24  4.00100.00 53.40 94.50 269.5
 ELP 20110116  4.03  3.78 99.40 53.20 94.50 283.7
 ELP 20110117  4.19  3.94 99.60 53.00 94.50 277.0
 ELP 20110118  4.05  3.83100.00 52.80 94.50 287.6
 ELP 20110119  3.80  3.59100.00 52.60 94.50 306.9
 ELP 20110120  3.55  3.35 99.90 52.40 94.50 329.1
 ELP 20110121  4.12  3.89100.00 52.20 94.50 292.1
 ELP 20110122  4.10  3.88100.00 52.00 94.50 295.8
 ELP 20110123  3.89  3.48 95.00 51.80 94.50 313.1
 ELP 20110124  3.46  3.26 99.70 51.60 94.50 350.2
 ELP 20110125  4.11  3.89100.00 51.30 94.50 304.2
 ELP 20110126  4.17  3.94100.00 51.10 94.50 304.0
 ELP 20110127  4.23  4.00100.00 50.90 94.50 303.4
 ELP 20110128  4.41  4.14 99.30 50.60 94.50 295.8
 ELP 20110129  4.65  4.40 99.90 50.40 94.50 285.6
 ELP 20110130  4.95  4.68100.00 50.10 94.60 274.3
 ELP 20110131  4.56  3.03 70.20 49.80 94.60 297.2
 ELP 20110201  3.97  2.82 75.80 49.60 94.60 339.3
 ELP 20110202  3.67  3.33 94.10 49.30 94.60 368.0
 ELP 20110203  3.66  3.82 94.00 49.00 94.60 372.9
 ELP 20110204  4.37  4.77100.00 48.70 94.60 323.4
 ELP 20110205  4.40  4.17100.00 48.40 94.60 325.0
 ELP 20110206  4.24  3.88 97.00 48.10 94.60 340.2
 ELP 20110207  5.11  4.83100.00 47.80 94.60 293.5
 ELP 20110208  5.55  5.25100.00 47.50 94.60 277.1
 ELP 20110209  5.37  5.08100.00 47.20 94.60 288.3
 ELP 20110210  5.98  5.66100.00 46.90 94.60 266.5
 ELP 20110211  5.34  5.05100.00 46.60 94.60 296.3
 ELP 20110212  6.11  5.78100.00 46.30 94.60 268.0
 ELP 20110213  6.40  6.06100.00 45.90 94.60 260.5
 ELP 20110214  7.00  6.63100.00 45.60 94.60 245.0
 ELP 20110215  6.83  6.46100.00 45.30 94.60 253.1
 ELP 20110216  6.75  6.39100.00 44.90 94.60 258.5
 ELP 20110217  7.33  6.88 99.10 44.60 94.60 244.5
 ELP 20110218  7.97  7.54100.00 44.20 94.60 231.2
 ELP 20110219  7.34  6.94100.00 43.90 94.60 250.6
 ELP 20110220  6.97  6.13 93.00 43.50 94.70 264.5
 ELP 20110221  7.30  6.77 98.00 43.20 94.70 257.4
 ELP 20110222  7.27  6.89100.00 42.80 94.70 261.1
 ELP 20110223  7.32  6.93100.00 42.50 94.70 262.9
 ELP 20110224  6.40  6.06100.00 42.10 94.70 297.6
 ELP 20110225  7.30  6.91100.00 41.70 94.70 270.0
 ELP 20110226  7.70  7.28 99.80 41.40 94.70 261.0
 ELP 20110227  6.78  3.36 52.60 41.00 94.70 293.9
 ELP 20110228  7.67  7.26100.00 40.60 94.70 268.2
 ELP 20110301  7.24  6.86100.00 40.20 94.70 284.3
 ELP 20110302  7.43  6.99100.00 39.80 94.00 281.3
 ELP 20110303  8.14  7.05 92.20 39.50 94.00 264.0
 ELP 20110304  7.62  7.17100.00 39.10 94.10 281.8
 ELP 20110305  6.57  6.18100.00 38.70 94.10 322.4
 ELP 20110306  7.32  6.84 99.30 38.30 94.10 297.6
 ELP 20110307  7.52  7.05 99.70 37.90 94.10 294.3
 ELP 20110308  7.13  6.70100.00 37.50 94.10 311.3
 ELP 20110309  8.14  7.66100.00 37.10 94.10 281.3
 ELP 20110310  8.38  7.88100.00 36.70 94.10 277.8
 ELP 20110311  7.83  7.37100.00 36.30 94.10 296.8
 ELP 20110312  8.32  7.55 96.40 35.90 94.10 285.1
 ELP 20110313  7.73  7.27 99.90 35.50 94.10 306.3
 ELP 20110314  8.10  7.42 97.40 35.10 94.10 297.3
 ELP 20110315  8.10  7.61 99.80 34.70 94.10 300.0
 ELP 20110316  8.71  8.20100.00 34.30 94.10 285.6
 ELP 20110317  9.17  8.64100.00 33.90 94.10 276.2
 ELP 20110318  9.30  8.75100.00 33.50 94.10 275.8
 ELP 20110319  8.82  8.30100.00 33.10 94.10 290.8
 ELP 20110320  8.91  8.39100.00 32.70 94.10 291.0
 ELP 20110321  8.56  8.06100.00 32.30 94.10 303.3
 ELP 20110322  7.93  7.43 99.40 31.90 94.10 325.9
 ELP 20110323  9.40  8.85100.00 31.50 94.10 285.7
 ELP 20110324  9.89  9.32100.00 31.10 94.10 276.3
 ELP 20110325  9.67  9.10100.00 30.70 94.20 283.9
 ELP 20110326  9.46  8.90100.00 30.30 94.20 291.8
 ELP 20110327  9.23  8.70100.00 29.90 94.20 299.7
 ELP 20110328  9.02  8.50100.00 29.50 94.20 308.1
 ELP 20110329  9.06  8.51 99.80 29.10 94.20 309.4
 ELP 20110330  8.67  8.17100.00 28.70 94.20 322.7
 ELP 20110331  9.33  8.79100.00 28.30 94.20 306.3
 ELP 20110401  8.73  8.22100.00 27.90 94.20 325.9
 ELP 20110402  9.95  9.37100.00 27.50 94.20 294.7
 ELP 20110403 10.81 10.18100.00 27.10 94.20 277.0
 ELP 20110404  9.31  8.77100.00 26.70 94.20 315.5
 ELP 20110405 10.49  9.88100.00 26.30 94.20 288.2
 ELP 20110406 11.28 10.05 94.60 25.90 94.20 273.2
 ELP 20110407 10.76 10.14100.00 25.50 94.20 285.7
 ELP 20110408 10.49  9.89100.00 25.20 94.20 293.6
 ELP 20110409 10.69  9.94 98.70 24.80 94.20 291.0
 ELP 20110410 10.14  9.55100.00 24.40 94.20 305.6
 ELP 20110411 12.07 11.37100.00 24.00 94.20 266.3
 ELP 20110412 12.35 11.64100.00 23.60 94.20 262.5
 ELP 20110413 12.37 11.45 98.20 23.30 94.20 263.6
 ELP 20110414 10.87 10.24100.00 22.90 94.20 294.7
 ELP 20110415 11.01 10.38100.00 22.50 94.20 293.1
 ELP 20110416 10.71 10.09100.00 22.20 94.20 301.2
 ELP 20110417 11.40 10.74100.00 21.80 94.20 287.8
 ELP 20110418 11.22 10.57100.00 21.40 94.20 293.1
 ELP 20110419 11.52 10.85100.00 21.10 94.20 288.2
 ELP 20110420 12.27 11.56100.00 20.70 94.20 274.9
 ELP 20110421 11.88 11.06 98.80 20.40 94.20 283.5
 ELP 20110422 11.24 10.59100.00 20.00 94.20 297.8
 ELP 20110423 11.06 10.12 97.10 19.70 94.30 303.0
 ELP 20110424 10.38  9.79100.00 19.40 94.30 320.2
 ELP 20110425 11.57 10.84 99.40 19.00 94.30 294.3
 ELP 20110426 11.45 10.79100.00 18.70 94.30 297.6
 ELP 20110427 11.43 10.77100.00 18.40 94.30 299.0
 ELP 20110428 12.27 11.57100.00 18.00 94.30 283.1
 ELP 20110429 12.39 11.68100.00 17.70 94.30 281.7
 ELP 20110430 12.57 11.85100.00 17.40 94.30 279.2
 ELP 20110501 11.22 10.58100.00 17.10 94.30 307.8
 ELP 20110502 11.20 10.35 98.70 16.80 93.60 309.0
 ELP 20110503 12.24 11.46100.00 16.50 93.60 288.2
 ELP 20110504 12.80 11.71 97.70 16.20 93.60 278.4
 ELP 20110505 12.66 11.86100.00 15.90 93.60 281.7
 ELP 20110506 12.22 11.44100.00 15.60 93.60 291.1
 ELP 20110507 12.42 11.63100.00 15.40 93.60 288.1
 ELP 20110508 12.50 11.70100.00 15.10 93.60 287.3
 ELP 20110509 11.94 11.18100.00 14.80 93.60 298.7
 ELP 20110510 11.93 11.17100.00 14.50 93.60 299.5
 ELP 20110511 11.15 10.44100.00 14.30 93.60 317.1
 ELP 20110512 11.68 10.94100.00 14.00 93.60 305.9
 ELP 20110513 12.18 11.40100.00 13.80 93.60 296.1
 ELP 20110514 11.67 10.93100.00 13.50 93.60 307.2
 ELP 20110515 11.51 10.77100.00 13.30 93.60 311.3
 ELP 20110516 11.84 11.08100.00 13.10 93.60 304.5
 ELP 20110517 11.77 10.72 97.20 12.80 93.60 306.5
 ELP 20110518 11.52 10.72 99.40 12.60 93.60 312.4
 ELP 20110519 11.92 11.16100.00 12.40 93.60 304.2
 ELP 20110520 11.29 10.57100.00 12.20 93.60 318.5
 ELP 20110521 12.60 11.80100.00 12.00 93.60 291.5
 ELP 20110522 12.27 11.49100.00 11.80 93.60 298.0
 ELP 20110523 12.50 11.70100.00 11.60 93.60 294.1
 ELP 20110524 11.84 11.09100.00 11.40 93.70 307.7
 ELP 20110525 12.78 11.97100.00 11.20 93.70 289.5
 ELP 20110526 12.31 11.53100.00 11.10 93.70 298.6
 ELP 20110527 13.21 12.37100.00 10.90 93.70 282.1
 ELP 20110528 12.70 11.89100.00 10.70 93.70 291.8
 ELP 20110529 12.28 11.50100.00 10.60 93.70 300.0
 ELP 20110530 12.56 11.76100.00 10.40 93.70 294.9
 ELP 20110531 12.66 11.74 99.00 10.30 93.70 293.3
 ELP 20110601 13.29 12.44100.00 10.20 93.70 281.9
 ELP 20110602 13.03 12.05 98.70 10.00 93.70 287.0
 ELP 20110603 12.83 12.01100.00  9.90 93.70 290.8
 ELP 20110604 12.68 11.87100.00  9.80 93.70 293.7
 ELP 20110605 13.04 12.22100.00  9.70 93.70 287.1
 ELP 20110606 13.30 12.45100.00  9.60 93.70 282.4
 ELP 20110607 13.28 12.43100.00  9.50 93.70 282.9
 ELP 20110608 13.45 12.60100.00  9.40 93.70 279.8
 ELP 20110609 13.37 12.53100.00  9.30 93.70 281.2
 ELP 20110610 12.93 12.11100.00  9.30 93.70 289.5
 ELP 20110611 13.33 12.48100.00  9.20 93.70 282.2
 ELP 20110612 13.38 12.53100.00  9.10 93.70 281.3
 ELP 20110613 13.19 11.94 96.70  9.10 93.70 284.8
 ELP 20110614 12.79 11.98100.00  9.00 93.70 292.1
 ELP 20110615 13.20 12.36100.00  9.00 93.70 284.6
 ELP 20110616 13.27 12.43100.00  9.00 93.70 283.3
 ELP 20110617 13.18 12.33 99.90  8.90 93.70 285.0
 ELP 20110618 13.26 12.42100.00  8.90 93.70 283.5
 ELP 20110619 12.49 11.70100.00  8.90 93.70 297.6
 ELP 20110620 11.59 10.85100.00  8.90 93.70 316.6
 ELP 20110621 11.94 11.18100.00  8.90 93.70 308.9
 ELP 20110622 12.17 11.40100.00  8.90 93.70 304.0
 ELP 20110623 12.45 11.66100.00  8.90 93.70 298.1
 ELP 20110624 12.88 12.07100.00  8.90 93.70 290.2
 ELP 20110625 13.11 12.28100.00  9.00 93.70 285.9
 ELP 20110626 13.28 12.44100.00  9.00 93.70 282.7
 ELP 20110627 13.46 12.58 99.80  9.00 93.70 279.4
